business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to tobacco farming.,49149.49,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to oilseed (except soybean) farming.,32145.68,CropGen,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to shellfish farming.,21339.29,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to oilseed (except soybean) farming.,1068.44,FreshFields,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to chicken egg production.,46002.5,BioHarvest,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to tobacco farming.,30811.41,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to dry pea and bean farming.,45191.17,AgriCorp,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Irrelevant text   tdlsmio.n cio ortdc uddpkit traeiaAvaltatiret ycenile,34077.54,AgriCorp,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to apiculture.,49959.94,BioHarvest,Procured for apiculture operations.,Apiculture
Activities related to citrus (except orange) groves.,42647.04,BioHarvest,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to oilseed (except soybean) farming.,11035.5,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
irdrtyu vtcote teesn. Adoreptkil ocuiati,30057.45,AgriCorp,Procured for turkey production operations.,Turkey Production
osonctAfivlertdi tciteormt neagt.  ai,33773.09,FreshFields,Procured for cotton farming operations.,Cotton Farming
Activities related to tobacco farming.,35630.5,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to apiculture.,41031.11,BioHarvest,Procured for apiculture operations.,Apiculture
Activities related to hog and pig farming.,22068.4,CropGen,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to poultry hatcheries.,3232.85,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
Actiitis related to othr aquaculture.,38443.95,CropGen,Procured for other aquaculture operations.,Other Aquaculture
Activities related to oilseed (except soybean) farming.,6122.96,FreshFields,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to citrus (except orange) groves.,11511.91,CropGen,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to hay farming.,21750.55,BioHarvest,Procured for hay farming operations.,Hay Farming
Activities related to cotton farming.,10305.15,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities related to mushroom production.,20597.34,BioHarvest,Procured for mushroom production operations.,Mushroom Production
Activities related to fur-bearing animal and rabbit production.,1213.33,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
 nAa itnk t ca.rodrcaemvtiiurde diyiil pttoeotc latsedl,46689.4,EcoFarms,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to horses and other equine production.,44511.3,CropGen,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to chicken egg production.,24926.71,CropGen,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to oilseed (except soybean) farming.,1515.69,CropGen,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
enu.o t drArfrsna ianv cestrtetoitr tolmuieigich itf,28036.82,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities erlaed to potato farming.,18606.94,CropGen,Procured for potato farming operations.,Potato Farming
Activities related to hay farming.,30893.28,AgriCorp,Procured for hay farming operations.,Hay Farming
Activities related to sugarcane farming.,41786.83,EcoFarms,Procured for sugarcane farming operations.,Sugarcane Farming
ctrited coereing oeslAtp tcv  eognacktid.hiiu,12819.71,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to mushroom production.,32644.22,FreshFields,Procured for mushroom production operations.,Mushroom Production
Activities related to oilseed (except soybean) farming.,20145.21,EcoFarms,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to apple orchards.,1538.47,AgriCorp,Procured for apple orchards operations.,Apple Orchards
Activities related to all other animal production.,8576.3,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to other aquaculture.,3900.61,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Activities related to other vegetable (except potato) and melon farming.,15236.96,CropGen,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to corn farming.,16264.64,FreshFields,Procured for corn farming operations.,Corn Farming
Activities related to fruit and tree nut combination farming.,22088.38,BioHarvest,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to cotton farming.,28212.59,AgriCorp,Procured for cotton farming operations.,Cotton Farming
Activities related to fur-bearing animal and rabbit production.,9893.94,BioHarvest,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to turkey production.,45391.86,CropGen,Procured for turkey production operations.,Turkey Production
Activities related to broilers and other meat type chicken production.,34306.65,FreshFields,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to rice farming.,37880.4,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to berry (except strawberry) farming.,15185.91,EcoFarms,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to all other grain farming.,11211.49,FreshFields,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to all other animal production.,3678.67,FreshFields,Procured for all other animal production operations.,All Other Animal Production
Activities related to sugarcane farming.,36770.25,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to turkey production.,13000.58,EcoFarms,Procured for turkey production operations.,Turkey Production
Activities related to oilseed (except soybean) farming.,35770.5,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to strawberry farming.,39145.79,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities related to apple orchards.,13197.61,AgriCorp,Procured for apple orchards operations.,Apple Orchards
Activities related to finfish farming and fish hatcheries.,42893.8,FreshFields,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to peanut farming.,32624.0,BioHarvest,Procured for peanut farming operations.,Peanut Farming
Activities related to all other animal production.,15529.84,AgriCorp,Procured for all other animal production operations.,All Other Animal Production
